date,open,high,low,close,volume
2020-01-15 13:30:00,78.49,78.55,78.04,78.17,57546
2020-01-15 14:00:00,78.17,78.37,78.13,78.33,46433
2020-01-15 14:30:00,78.33,78.46,78.23,78.24,37045
2020-01-15 15:00:00,78.25,78.25,77.73,77.81,81857
2020-01-15 15:30:00,77.82,77.89,77.39,77.88,172275
2020-01-15 16:00:00,77.88,77.88,77.79,77.81,64595
2020-01-15 16:30:00,77.84,77.84,77.81,77.84,422
2020-01-15 17:00:00,77.84,77.89,77.83,77.88,3569
2020-01-15 17:30:00,77.87,77.9,77.86,77.86,598
2020-01-15 18:00:00,77.87,78.05,77.87,78.04,695
2020-01-15 18:30:00,78.04,78.06,78.0,78.02,692
2020-01-15 19:00:00,78.07,78.07,78.0,78.03,455
2020-01-15 19:30:00,78.02,78.06,78.01,78.05,672
